Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu838,Zotu838,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI_cluster,uncultured_bacterium,Zotu838,0.000119,0,4,4
Zotu1527,Zotu1527,,other,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Longivirga,uncultured_bacterium,Zotu1527,0.000153,1,0,1
Zotu84,Zotu84,,other,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,uncultured_bacterium,Zotu84,0.00026,3,25,28
Zotu848,Zotu848,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu848,0.000827,3,37,40
Zotu8576,Zotu8576,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu8576,0.000132,2,2,4
Zotu858,Zotu858,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu858,0.000334,2,29,31
Zotu86,Zotu86,,other,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,Zotu86,0.000139,1,21,22
Zotu860,Zotu860,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,uncultured,uncultured_bacterium,Zotu860,0.00021,1,3,4
Zotu863,Zotu863,,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,NA,Zotu863,0.000111,0,1,1
Zotu869,Zotu869,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptonema,marine_metagenome,Zotu869,0.000186,0,16,16
Zotu87,Zotu87,,other,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,NA,Zotu87,0.000486,2,37,39
Zotu873,Zotu873,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu873,0.000394,0,2,2
Zotu876,Zotu876,,other,Bacteria,NA,NA,NA,NA,NA,NA,Zotu876,0.001061,0,11,11
Zotu8781,Zotu8781,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,NA,Zotu8781,0.000407,1,35,36
Zotu88,Zotu88,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu88,0.000266,3,34,37
Zotu884,Zotu884,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,NA,Zotu884,0.000152,3,49,52
Zotu89,Zotu89,,other,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085,uncultured_bacterium,Zotu89,0.000112,0,8,8
Zotu892,Zotu892,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured_bacterium,Zotu892,0.000228,0,1,1
Zotu1138,Zotu1138,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA,Zotu1138,0.000252,1,0,1
Zotu899,Zotu899,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu899,0.000158,1,31,32
Zotu9,Zotu9,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA,Zotu9,0.014286,1,6,7
Zotu902,Zotu902,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu902,0.000278,0,2,2
Zotu447,Zotu447,,other,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Acidaminobacteraceae,Acidaminobacter,uncultured_prokaryote,Zotu447,0.000416,1,0,1
Zotu903,Zotu903,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu903,0.000154,0,2,2
Zotu9076,Zotu9076,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu9076,0.000203,1,18,19
Zotu91,Zotu91,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu91,0.00269,0,2,2
Zotu20,Zotu20,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxydans,NA,Zotu20,0.007945,1,0,1
Zotu92,Zotu92,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu92,0.001324,0,38,38
Zotu9203,Zotu9203,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,NA,NA,Zotu9203,0.000313,1,5,6
Zotu923,Zotu923,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,[Cytophaga]_xylanolytica_group,uncultured_bacterium,Zotu923,0.000108,0,1,1
Zotu1503,Zotu1503,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,uncultured,uncultured_bacterium,Zotu1503,0.000105,1,0,1
Zotu9243,Zotu9243,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu9243,0.000422,0,11,11
Zotu93,Zotu93,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,NA,Zotu93,0.000548,1,51,52
Zotu938,Zotu938,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,oc32,uncultured_bacterium,Zotu938,0.0005,1,80,81
Zotu94,Zotu94,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu94,0.002846,0,79,79
Zotu439,Zotu439,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA,Zotu439,0.000113,1,0,1
Zotu9486,Zotu9486,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu9486,0.000161,1,14,15
Zotu954,Zotu954,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,NA,Zotu954,0.000231,0,3,3
Zotu143,Zotu143,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,NA,Zotu143,0.002331,1,0,1
Zotu955,Zotu955,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu955,0.000104,0,2,2
Zotu963,Zotu963,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Ferritrophicum,uncultured_bacterium,Zotu963,0.000146,0,1,1
Zotu966,Zotu966,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu966,0.000108,0,4,4
Zotu968,Zotu968,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu968,0.00028,0,25,25
Zotu976,Zotu976,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,uncultured_bacterium,Zotu976,0.000506,0,3,3
Zotu980,Zotu980,,other,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,NA,Zotu980,0.000147,0,27,27
Zotu985,Zotu985,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ciceribacter,uncultured_bacterium,Zotu985,0.000525,0,4,4
Zotu9875,Zotu9875,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu9875,0.001826,0,26,26
Zotu99,Zotu99,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,uncultured_bacterium,Zotu99,0.002659,0,6,6
Zotu990,Zotu990,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA,Zotu990,0.000112,0,2,2
Zotu995,Zotu995,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu995,0.000454,0,8,8
Zotu996,Zotu996,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu996,0.000196,0,1,1
Zotu998,Zotu998,,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,uncultured,NA,Zotu998,0.000153,0,3,3
Zotu1180,Zotu1180,,other,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,uncultured,NA,Zotu1180,0.000111,1,0,1
