"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"59",59,"Zotu1400","Zotu1400",NA,8,"other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","uncultured_bacterium","Zotu1400",0.000211,"8"
"60",60,"Zotu14053","Zotu14053",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu14053",0.000589,"7"
"61",61,"Zotu14058","Zotu14058",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu14058",0.000372,"7"
"62",62,"Zotu141","Zotu141",NA,8,"other","Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium","Zotu141",0.000118,"8"
"63",63,"Zotu14124","Zotu14124",NA,4,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu14124",0.000476,"other"
"64",64,"Zotu14156","Zotu14156",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","myxobacterium_KC","Zotu14156",0.000336,"7"
"65",65,"Zotu14179","Zotu14179",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu14179",0.000291,"7"
"66",66,"Zotu14275","Zotu14275",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu14275",0.001663,"7"
"67",67,"Zotu1450","Zotu1450",NA,7,"diff","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu1450",0.00019,"7"
"68",68,"Zotu1451","Zotu1451",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu1451",0.000229,"7"
"69",69,"Zotu1465","Zotu1465",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured_bacterium","Zotu1465",0.000202,"other"
"70",70,"Zotu14682","Zotu14682",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu14682",0.002762,"7"
"71",71,"Zotu1142","Zotu1142",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu1142",0.00019,"7"
"72",72,"Zotu1481","Zotu1481",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu1481",0.000222,"7"
"73",73,"Zotu1482","Zotu1482",NA,22,"other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured_bacterium","Zotu1482",0.000118,"other"
"74",74,"Zotu149","Zotu149",NA,5,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira","uncultured_bacterium","Zotu149",0.000412,"other"
"75",75,"Zotu112","Zotu112",NA,5,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Candidatus_Methylospira","uncultured_bacterium","Zotu112",0.000599,"other"
"76",76,"Zotu14902","Zotu14902",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured",NA,"Zotu14902",0.000129,"7"
"77",77,"Zotu15","Zotu15",NA,8,"other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium","Zotu15",0.015442,"8"
