SampleID	Gammaproteobacteria	Myxococcota	Bacteroidota	Desulfobacterota	Alphaproteobacteria	Firmicutes	Spirochaetota	Nitrospirota	Verrucomicrobiota	Acidobacteriota	Others
E1_NRE_Int3_1	0.317963497	0.238944035	0.042622834	0.019959441	0.042053581	0.251182979	0.040630448	0.011812004	0.001956808	0.005763689	0.027110684
E1_NRE_Int3_2	0.47293214	0.338908708	0.02528413	0.026219857	0.018129715	0.043218902	0.034446459	0.012027994	0.001793477	0.006842505	0.020196113
E1_NRE_Int3_3	0.398274703	0.272714542	0.034870043	0.02041788	0.031845171	0.147546493	0.039463365	0.01926955	0.002212637	0.005433565	0.02795205
E1_NRE_Int5_1	0.564657414	0.284324627	0.024847006	0.020063197	0.013175473	0.014591416	0.040886365	0.009967601	0.001583937	0.005015799	0.020887165
E1_NRE_Int5_2	0.48993209	0.34736445	0.022140778	0.018896195	0.009281018	0.035248464	0.043289857	0.01104883	0.000948583	0.004322518	0.017527218
E1_NRE_Int5_3	0.40227982	0.420853315	0.026528127	0.032941311	0.007098272	0.033179189	0.038355408	0.013482911	0.001503387	0.00476707	0.01901119
E1_NRE_Int7_1	0.292418283	0.464376258	0.020928753	0.019061232	0.025540173	0.099020334	0.040636835	0.010516542	0.001335434	0.004267129	0.021899029
E1_NRE_Int7_2	0.321138684	0.383338667	0.027317953	0.032409158	0.030459954	0.120254269	0.035769354	0.018110145	0.002371047	0.004451168	0.0243796
E1_NRE_Int7_3	0.416692448	0.411259136	0.025465022	0.029950888	0.014260026	0.013911984	0.036495998	0.017972466	0.002001237	0.005723346	0.02626745
E1_NRS_Int1_1	0.406608246	0.103751424	0.099728525	0.086478275	0.021661767	0.014066082	0.024095199	0.053240122	0.038639529	0.029820095	0.121910737
E1_NRS_Int1_2	0.323830978	0.136172041	0.12669678	0.117314414	0.015745654	0.026219533	0.026370487	0.048096239	0.037332064	0.027403941	0.114817868
E1_NRS_Int1_3	0.417385031	0.083122409	0.116197743	0.085470085	0.018903684	0.017632026	0.022082829	0.052810486	0.045791913	0.02882017	0.111783623
E1_NRS_Int3_1	0.340616998	0.105109133	0.106986953	0.103182539	0.022558225	0.068113645	0.02331423	0.058188026	0.038605048	0.030240215	0.10308499
E1_NRS_Int3_2	0.461487075	0.116352019	0.089863491	0.101873366	0.023250073	0.016918385	0.02584955	0.04300029	0.031251815	0.025254139	0.064899797
E1_NRS_Int3_3	0.379184764	0.104844637	0.097494153	0.097093218	0.023070498	0.032292015	0.026110925	0.061727364	0.03810558	0.034029402	0.106047444
E1_NRS_Int5_1	0.451974237	0.06730141	0.114907122	0.103892467	0.027443293	0.019742369	0.015261831	0.037571175	0.046205545	0.027069915	0.088630636
E1_NRS_Int5_2	0.43545076	0.095313508	0.122939762	0.112851194	0.016657868	0.021643498	0.027157018	0.038360021	0.024341604	0.022288697	0.08299607
E1_NRS_Int5_3	0.470539348	0.099100132	0.103456182	0.116638964	0.017223591	0.018226629	0.021808907	0.036338626	0.028658222	0.019487591	0.068521809
