"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"87","ko04145","LinDA","Defoliation","Intact","0.157034660548554","BH",0.999592632031329,"Root","Exp1","NIP","day1",2.50685504792373,1.9128233651494e-07,1.08720998481977e-06
"88","ko00071","LinDA","Defoliation","Intact","0.804421321654362","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0345879366457112,0.00913554504955667,0.00891912924321661
"89","ko00072","LinDA","Defoliation","Intact","0.647073969278196","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0415726147881922,0.00285362148729427,0.00293704750176775
"90","ko05219","LinDA","Defoliation","Intact","0.603214075265948","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0200123579466308,8.70731162994421e-05,8.82893679792063e-05
"91","ko05215","LinDA","Defoliation","Intact","0.544513891025542","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0691835830773248,0.000658259759682705,0.000627438224675022
"92","ko05214","LinDA","Defoliation","Intact","0.14167785508478","BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.53168122145084,6.77599668619566e-07,2.34364157453358e-07
"93","ko05211","LinDA","Defoliation","Intact","0.670000672982682","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0404894564407811,0.000527930931980633,0.000542957266032735
"94","ko05210","LinDA","Defoliation","Intact","0.19196044299102","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.159668288982164,0.000914679023048737,0.00102172416143291
"95","ko01055","LinDA","Defoliation","Intact","0.951532946358121","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0141144915341602,0.000848033145547291,0.000839776933946965
"96","ko00902","LinDA","Defoliation","Intact","0.10197853176086","BH",0.999592632031329,"Root","Exp1","NIP","day1",-2.94368944979686,1.475863371767e-07,1.91825938733972e-08
"97","ko04910","LinDA","Defoliation","Intact","0.538293861064332","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0725931672648283,0.00131977662371003,0.0013878839471612
"98","ko00531","LinDA","Defoliation","Intact","0.872420264288525","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.119837804827708,7.09122475179578e-05,7.70541482485094e-05
"99","ko04916","LinDA","Defoliation","Intact","0.865853273205226","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.685979007876478,8.23402998297316e-07,1.32468525383121e-06
