"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu714","Zotu714","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu714",0.000572584288930167
"Zotu716","Zotu716","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu716",0.000441598337119139
"Zotu724","Zotu724","diff","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu724",0.00036083116470341
"Zotu73","Zotu73","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu73",0.00432976347220376
"Zotu739","Zotu739","diff","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","uncultured_bacterium","Zotu739",0.000174161091464081
"Zotu7399","Zotu7399","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix",NA,"Zotu7399",0.000294766971649572
"Zotu765","Zotu765","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Zotu765",0.000525979190169014
"Zotu77","Zotu77","diff","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu77",0.00180567890715131
"Zotu782","Zotu782","other","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group","uncultured_bacterium","Zotu782",0.000216221451109558
"Zotu798","Zotu798","other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","uncultured_soil","Zotu798",0.000235480471053678
"Zotu801","Zotu801","other","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured_bacterium","Zotu801",0.000220192843754227
"Zotu81","Zotu81","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu81",0.000178918117301748
"Zotu818","Zotu818","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured",NA,"Zotu818",0.000252767860944733
"Zotu824","Zotu824","other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured_bacterium","Zotu824",0.000264339108729729
"Zotu8276","Zotu8276","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu8276",0.00186784120518403
"Zotu84","Zotu84","other","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium","Zotu84",0.000172281231551627
"Zotu848","Zotu848","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA,"Zotu848",0.000413331593939596
"Zotu851","Zotu851","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu851",0.000175965933084807
"Zotu8576","Zotu8576","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu8576",0.000104645316549458
"Zotu858","Zotu858","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu858",0.000230851015804026
"Zotu86","Zotu86","other","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured_bacterium","Zotu86",0.000101629151017008
"Zotu869","Zotu869","diff","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptonema","marine_metagenome","Zotu869",0.000207011535417249
"Zotu87","Zotu87","other","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae",NA,"Zotu87",0.000345081265987959
"Zotu873","Zotu873","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu873",0.000274349579394283
"Zotu876","Zotu876","diff","Bacteria",NA,NA,NA,NA,NA,NA,"Zotu876",0.000844777691385925
"Zotu8781","Zotu8781","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola",NA,"Zotu8781",0.000214274034154344
"Zotu88","Zotu88","other","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium","Zotu88",0.000176130197570535
"Zotu884","Zotu884","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA,"Zotu884",0.000101547298628183
"Zotu899","Zotu899","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium","Zotu899",0.000192104331960206
"Zotu9","Zotu9","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,"Zotu9",0.0156069661299289
"Zotu902","Zotu902","diff","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured",NA,"Zotu902",0.000211407297309578
"Zotu9076","Zotu9076","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu9076",0.000195585656570473
"Zotu92","Zotu92","other","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella","uncultured_bacterium","Zotu92",0.00180232692235987
"Zotu9203","Zotu9203","other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA,"Zotu9203",0.000363198961255667
"Zotu9243","Zotu9243","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu9243",0.000452735606336259
"Zotu93","Zotu93","diff","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1",NA,"Zotu93",0.000343226431658039
"Zotu938","Zotu938","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","oc32","uncultured_bacterium","Zotu938",0.000282930486767363
"Zotu94","Zotu94","other","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,"Zotu94",0.00214102737218342
"Zotu9486","Zotu9486","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu9486",0.000543929029567199
"Zotu968","Zotu968","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium","Zotu968",0.000191618546971969
"Zotu976","Zotu976","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella","uncultured_bacterium","Zotu976",0.000291938214772339
"Zotu98","Zotu98","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae",NA,NA,"Zotu98",0.00175349089646967
"Zotu9875","Zotu9875","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu9875",0.00239761270454634
